file,variable,dtype,total_rows,null_count,null_pct,unique_values,min,max,mean,median,special_missing_codes
MCQ_L.xpt,AGQ030,float64,11744,1,0.01,3,1.0,9.0,1.831,2.0,9:11
MCQ_L.xpt,MCQ053,float64,11744,3,0.03,4,1.0,9.0,1.968,2.0,7:1; 9:7
MCQ_L.xpt,MCQ149,float64,11744,11310,96.3,3,1.0,9.0,1.885,2.0,9:2
MCQ_L.xpt,MCQ160A,float64,11744,3937,33.52,3,1.0,9.0,1.691,2.0,9:17
MCQ_L.xpt,MCQ195,float64,11744,9212,78.44,6,1.0,9.0,3.094,1.0,7:5; 9:496
MCQ_L.xpt,MCQ160B,float64,11744,3936,33.51,3,1.0,9.0,1.971,2.0,9:17
MCQ_L.xpt,MCQ160C,float64,11744,3937,33.52,3,1.0,9.0,1.979,2.0,9:34
MCQ_L.xpt,MCQ160D,float64,11744,3936,33.51,3,1.0,9.0,1.999,2.0,9:25
MCQ_L.xpt,MCQ160E,float64,11744,3937,33.52,3,1.0,9.0,1.969,2.0,9:13
MCQ_L.xpt,MCQ160F,float64,11744,3938,33.53,3,1.0,9.0,1.972,2.0,9:21
MCQ_L.xpt,MCQ160M,float64,11744,3938,33.53,4,1.0,9.0,1.882,2.0,7:1; 9:18
MCQ_L.xpt,MCQ170M,float64,11744,10691,91.03,3,1.0,9.0,1.365,1.0,9:23
MCQ_L.xpt,MCQ160P,float64,11744,3937,33.52,3,1.0,9.0,1.94,2.0,9:14
MCQ_L.xpt,MCQ160L,float64,11744,3937,33.52,4,1.0,9.0,1.957,2.0,7:2; 9:11
MCQ_L.xpt,MCQ170L,float64,11744,11319,96.38,4,1.0,9.0,2.329,1.0,7:1; 9:54
MCQ_L.xpt,MCQ500,float64,11744,10166,86.56,3,1.0,9.0,1.995,2.0,9:1
MCQ_L.xpt,MCQ510A,float64,11744,11484,97.79,3,1.0,99.0,13.269,1.0,77:2; 99:31
MCQ_L.xpt,MCQ510B,float64,11744,11740,99.97,1,2.0,2.0,2.0,2.0,None
MCQ_L.xpt,MCQ510C,float64,11744,11697,99.6,1,3.0,3.0,3.0,3.0,None
MCQ_L.xpt,MCQ510D,float64,11744,11682,99.47,1,4.0,4.0,4.0,4.0,None
MCQ_L.xpt,MCQ510E,float64,11744,11728,99.86,1,5.0,5.0,5.0,5.0,None
MCQ_L.xpt,MCQ510F,float64,11744,11665,99.33,1,6.0,6.0,6.0,6.0,None
MCQ_L.xpt,MCQ550,float64,11744,3937,33.52,4,1.0,9.0,1.906,2.0,7:1; 9:18
MCQ_L.xpt,MCQ560,float64,11744,3937,33.52,3,1.0,9.0,1.888,2.0,9:7
MCQ_L.xpt,MCQ220,float64,11744,3937,33.52,4,1.0,9.0,1.856,2.0,7:2; 9:5
MCQ_L.xpt,MCQ230A,float64,11744,10575,90.05,29,10.0,99.0,26.313,30.0,99:12
MCQ_L.xpt,MCQ230B,float64,11744,11585,98.65,22,10.0,39.0,28.654,32.0,None
MCQ_L.xpt,MCQ230C,float64,11744,11718,99.78,14,13.0,39.0,28.231,29.0,None
MCQ_L.xpt,MCQ230D,float64,11744,11742,99.98,1,66.0,66.0,66.0,66.0,None
MCQ_L.xpt,OSQ230,float64,11744,6021,51.27,3,1.0,9.0,1.709,2.0,9:36
PAQ_L.xpt,SEQN,int64,8153,0,0.0,8153,130378.0,142310.0,136378.395,136419.0,None
PAQ_L.xpt,PAD790Q,float64,8153,18,0.22,27,0.0,9999.0,60.142,2.0,7:524; 7777:10; 9999:39
PAQ_L.xpt,PAD790U,object,8153,0,0.0,5,,,,,None
PAQ_L.xpt,PAD800,float64,8153,1763,21.62,57,1.0,9999.0,93.438,60.0,7:3; 9999:19
PAQ_L.xpt,PAD810Q,float64,8153,14,0.17,24,0.0,9999.0,49.211,0.0,7:87; 9:2; 7777:4; 9999:36
PAQ_L.xpt,PAD810U,object,8153,0,0.0,5,,,,,None
PAQ_L.xpt,PAD820,float64,8153,4466,54.78,41,1.0,9999.0,97.571,45.0,7:1; 7777:1; 9999:13
PAQ_L.xpt,PAD680,float64,8153,15,0.18,52,0.0,9999.0,446.983,300.0,7:2; 7777:6; 9999:67
SMQ_L.xpt,SEQN,int64,9015,0,0.0,9015,130378.0,142310.0,136359.324,136392.0,None
SMQ_L.xpt,SMQ020,float64,9015,880,9.76,4,1.0,9.0,1.612,2.0,7:7; 9:7
SMQ_L.xpt,SMQ040,float64,9015,5772,64.03,3,1.0,3.0,2.34,3.0,None
SMQ_L.xpt,SMD641,float64,9015,8742,96.97,24,0.0,99.0,12.729,10.0,7:3; 99:5
SMQ_L.xpt,SMD650,float64,9015,7830,86.86,32,1.0,999.0,18.998,10.0,7:45; 9:4; 999:9
SMQ_L.xpt,SMD100MN,float64,9015,7840,86.97,3,0.0,9.0,0.414,0.0,9:3
SMQ_L.xpt,SMQ621,float64,9015,8243,91.44,9,1.0,99.0,1.281,1.0,7:2; 99:1
SMQ_L.xpt,SMD630,float64,9015,8992,99.74,8,9.0,16.0,13.174,13.0,9:1
SMQ_L.xpt,SMAQUEX2,float64,9015,0,0.0,2,1.0,2.0,1.096,1.0,None
TCHOL_L.xpt,SEQN,int64,8068,0,0.0,8068,130378.0,142310.0,136360.137,136391.0,None
TCHOL_L.xpt,WTPH2YR,float64,8068,0,0.0,7138,0.0,241728.857,37744.396,30264.727,None
TCHOL_L.xpt,LBXTC,float64,8068,1178,14.6,264,62.0,438.0,181.541,178.0,99:7
TCHOL_L.xpt,LBDTCSI,float64,8068,1178,14.6,264,1.6,11.33,4.695,4.6,None
TRIGLY_L.xpt,SEQN,int64,3996,0,0.0,3996,130378.0,142309.0,136384.084,136412.5,None
TRIGLY_L.xpt,WTSAF2YR,float64,3996,0,0.0,3315,0.0,561922.43,70068.217,56643.424,None
TRIGLY_L.xpt,LBXTLG,float64,3996,479,11.99,338,19.0,1745.0,115.967,96.0,77:34; 99:30
TRIGLY_L.xpt,LBDTRSI,float64,3996,479,11.99,338,0.215,19.701,1.309,1.084,None
TRIGLY_L.xpt,LBDLDL,float64,3996,516,12.91,204,3.0,314.0,105.697,102.0,77:34; 99:47
TRIGLY_L.xpt,LBDLDLSI,float64,3996,516,12.91,204,0.078,8.12,2.733,2.638,None
TRIGLY_L.xpt,LBDLDLM,float64,3996,516,12.91,199,17.0,313.0,106.774,103.0,77:35; 99:52
TRIGLY_L.xpt,LBDLDMSI,float64,3996,516,12.91,199,0.44,8.094,2.761,2.664,None
TRIGLY_L.xpt,LBDLDLN,float64,3996,483,12.09,205,13.0,314.0,107.737,104.0,77:33; 99:49
TRIGLY_L.xpt,LBDLDNSI,float64,3996,483,12.09,205,0.336,8.12,2.786,2.689,None
